frame_number,First_fighter,Second_fighter,First_fighter_color,Second_fighter_color,time_left,round
0,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49.
",1
1,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49.
",1
2,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49.
",1
3,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
4,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
5,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
6,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
7,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
8,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
9,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
10,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
11,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
12,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
13,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
14,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
15,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
16,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
17,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
18,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
19,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
20,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
21,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
22,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
23,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:49
",1
24,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
25,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
26,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
27,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
28,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
29,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
30,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
31,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
32,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
33,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
34,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
35,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
36,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
37,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
38,"WANDERSON SANTOS
","KAYQUE DE PAULA
",Red,Blue,"4:48
",1
